ticker,company,sector
RELIANCE.NS,Reliance Industries,Energy
TCS.NS,Tata Consultancy Services,Information Technology
HDFCBANK.NS,HDFC Bank,Financial Services
ICICIBANK.NS,ICICI Bank,Financial Services
INFY.NS,Infosys,Information Technology
HINDUNILVR.NS,Hindustan Unilever,FMCG
ITC.NS,ITC Limited,FMCG
SBIN.NS,State Bank of India,Financial Services
BHARTIARTL.NS,Bharti Airtel,Telecom
KOTAKBANK.NS,Kotak Mahindra Bank,Financial Services
LT.NS,Larsen & Toubro,Capital Goods
AXISBANK.NS,Axis Bank,Financial Services
BAJFINANCE.NS,Bajaj Finance,Financial Services
ASIANPAINT.NS,Asian Paints,Chemicals
MARUTI.NS,Maruti Suzuki India,Automobile
TITAN.NS,Titan Company,Consumer Discretionary
NESTLEIND.NS,Nestle India,FMCG
WIPRO.NS,Wipro,Information Technology
TECHM.NS,Tech Mahindra,Information Technology
HCLTECH.NS,HCL Technologies,Information Technology
POWERGRID.NS,Power Grid Corporation,Utilities
NTPC.NS,NTPC Limited,Utilities
ONGC.NS,Oil & Natural Gas Corporation,Energy
COALINDIA.NS,Coal India,Mining
HDFCLIFE.NS,HDFC Life Insurance,Financial Services
JSWSTEEL.NS,JSW Steel,Metals
TATASTEEL.NS,Tata Steel,Metals
INDUSINDBK.NS,IndusInd Bank,Financial Services
BAJAJFINSV.NS,Bajaj Finserv,Financial Services
ADANIENT.NS,Adani Enterprises,Conglomerate
ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure
SUNPHARMA.NS,Sun Pharmaceutical Industries,Pharma
CIPLA.NS,Cipla,Pharma
DIVISLAB.NS,Divi's Laboratories,Pharma
APOLLOHOSP.NS,Apollo Hospitals,Healthcare
ULTRACEMCO.NS,UltraTech Cement,Cement
GRASIM.NS,Grasim Industries,Diversified
HINDALCO.NS,Hindalco Industries,Metals
M&M.NS,Mahindra & Mahindra,Automobile
BAJAJ-AUTO.NS,Bajaj Auto,Automobile
EICHERMOT.NS,Eicher Motors,Automobile
DRREDDY.NS,Dr. Reddy's Laboratories,Pharma
BPCL.NS,Bharat Petroleum Corporation,Energy
HEROMOTOCO.NS,Hero MotoCorp,Automobile
TATAMOTORS.NS,Tata Motors,Automobile
BRITANNIA.NS,Britannia Industries,FMCG
TATACONSUM.NS,Tata Consumer Products,FMCG
SBILIFE.NS,SBI Life Insurance,Financial Services
ICICIPRULI.NS,ICICI Prudential Life Insurance,Financial Services
UPL.NS,UPL Limited,Agrochemicals
ADANIGREEN.NS,Adani Green Energy,Renewable Energy
AMBUJACEM.NS,Ambuja Cements,Cement
BANDHANBNK.NS,Bandhan Bank,Financial Services
BERGEPAINT.NS,Berger Paints India,Chemicals
BOSCHLTD.NS,Bosch Limited,Auto Ancillaries
CHOLAFIN.NS,Cholamandalam Investment & Finance,Financial Services
COLPAL.NS,Colgate-Palmolive India,FMCG
DABUR.NS,Dabur India,FMCG
DLF.NS,DLF Limited,Real Estate
HDFCAMC.NS,HDFC Asset Management Company,Financial Services
HINDZINC.NS,Hindustan Zinc,Metals
ICICIGI.NS,ICICI Lombard General Insurance,Financial Services
INDIGO.NS,InterGlobe Aviation (IndiGo),Aviation
INDUSTOWER.NS,Indus Towers,Telecom
IOC.NS,Indian Oil Corporation,Energy
MUTHOOTFIN.NS,Muthoot Finance,Financial Services
NAUKRI.NS,Info Edge India,Technology
NMDC.NS,NMDC Limited,Mining
PAGEIND.NS,Page Industries,Textiles
PIDILITIND.NS,Pidilite Industries,Chemicals
PIIND.NS,PI Industries,Agrochemicals
PNB.NS,Punjab National Bank,Financial Services
RECLTD.NS,REC Limited,Financial Services
SIEMENS.NS,Siemens India,Capital Goods
SRF.NS,SRF Limited,Chemicals
TORNTPHARM.NS,Torrent Pharmaceuticals,Pharma
TRENT.NS,Trent Limited,Retail
VEDL.NS,Vedanta Limited,Metals
ZOMATO.NS,Zomato Limited,Technology
HAVELLS.NS,Havells India,Capital Goods
GODREJCP.NS,Godrej Consumer Products,FMCG
TATAPOWER.NS,Tata Power Company,Utilities
MARICO.NS,Marico Limited,FMCG
CANBK.NS,Canara Bank,Financial Services
BANKBARODA.NS,Bank of Baroda,Financial Services
INDHOTEL.NS,Indian Hotels Company (Taj Hotels),Hospitality
LUPIN.NS,Lupin Limited,Pharma
MPHASIS.NS,Mphasis Limited,Information Technology
PERSISTENT.NS,Persistent Systems,Information Technology
LTIM.NS,LTIMindtree,Information Technology
LTTS.NS,L&T Technology Services,Information Technology
OBEROIRLTY.NS,Oberoi Realty,Real Estate
PHOENIXLTD.NS,The Phoenix Mills,Real Estate
POLICYBZR.NS,PB Fintech (PolicyBazaar),Technology
DMART.NS,Avenue Supermarts (DMart),Retail
SHRIRAMFIN.NS,Shriram Finance,Financial Services
TATACOMM.NS,Tata Communications,Telecom
JSWENERGY.NS,JSW Energy,Utilities
ADANITRANS.NS,Adani Transmission,Utilities
LODHA.NS,Macrotech Developers (Lodha),Real Estate
COFORGE.NS,Coforge Limited,Information Technology
TATAELXSI.NS,Tata Elxsi,Information Technology
KPITTECH.NS,KPIT Technologies,Information Technology
OFSS.NS,Oracle Financial Services Software,Information Technology
MASTEK.NS,Mastek Limited,Information Technology
ZENSAR.NS,Zensar Technologies,Information Technology
FIRSTSOURCE.NS,FirstSource Solutions,Information Technology
BSOFT.NS,Birlasoft,Information Technology
SONATA.NS,Sonata Software,Information Technology
CYIENT.NS,Cyient Limited,Information Technology
NIIT.NS,NIIT Limited,Information Technology
RAMCOSYS.NS,Ramco Systems,Information Technology
TANLA.NS,Tanla Platforms,Information Technology
INTELLECT.NS,Intellect Design Arena,Information Technology
ROUTE.NS,Route Mobile,Technology
INDIAMART.NS,IndiaMART InterMESH,Technology
IRCTC.NS,IRCTC,Technology
DELHIVERY.NS,Delhivery,Logistics
EASEMYTRIP.NS,Easy Trip Planners,Technology
NEWGEN.NS,Newgen Software Technologies,Information Technology
HAPPSTMNDS.NS,Happiest Minds Technologies,Information Technology
SUBEXLTD.NS,Subex Limited,Information Technology
RATEGAIN.NS,RateGain Travel Technologies,Technology
CARTRADE.NS,CarTrade Tech,Technology
TATATECH.NS,Tata Technologies,Information Technology
LATENTVIEW.NS,LatentView Analytics,Information Technology
MAPMYINDIA.NS,CE Info Systems (MapmyIndia),Technology
SWIGGY.NS,Swiggy (Bundl Technologies),Technology
PAYTM.NS,One97 Communications (Paytm),Technology
NYKAA.NS,FSN E-Commerce Ventures (Nykaa),Technology
NAZARA.NS,Nazara Technologies,Technology
ECLERX.NS,eClerx Services,Information Technology
MPSLTD.NS,MPS Limited,Information Technology
RAILTEL.NS,RailTel Corporation,Technology
IDEAFORGE.NS,ideaForge Technology,Technology
KAYNES.NS,Kaynes Technology India,Electronics
SYRMA.NS,Syrma SGS Technology,Electronics
DIXON.NS,Dixon Technologies India,Electronics
AMBER.NS,Amber Enterprises India,Electronics
OPTIEMUS.NS,Optiemus Infracom,Technology
INFIBEAM.NS,Infibeam Avenues,Technology
QUICKHEAL.NS,Quick Heal Technologies,Technology
FEDERALBNK.NS,Federal Bank,Financial Services
IDFCFIRSTB.NS,IDFC First Bank,Financial Services
YESBANK.NS,Yes Bank,Financial Services
RBLBANK.NS,RBL Bank,Financial Services
AUBANK.NS,AU Small Finance Bank,Financial Services
KARURVYSYA.NS,Karur Vysya Bank,Financial Services
CUB.NS,City Union Bank,Financial Services
DCBBANK.NS,DCB Bank,Financial Services
SOUTHBNK.NS,South Indian Bank,Financial Services
UJJIVANSFB.NS,Ujjivan Small Finance Bank,Financial Services
EQUITASBNK.NS,Equitas Small Finance Bank,Financial Services
CANFINHOME.NS,Can Fin Homes,Financial Services
LICHSGFIN.NS,LIC Housing Finance,Financial Services
MANAPPURAM.NS,Manappuram Finance,Financial Services
LICI.NS,Life Insurance Corporation of India,Financial Services
IRFC.NS,Indian Railway Finance Corporation,Financial Services
POWERFIN.NS,Power Finance Corporation,Financial Services
PNBHOUSING.NS,PNB Housing Finance,Financial Services
IIFL.NS,IIFL Finance,Financial Services
CAMS.NS,Computer Age Management Services,Financial Services
CDSL.NS,Central Depository Services,Financial Services
BSE.NS,BSE Limited,Financial Services
KFINTECH.NS,KFin Technologies,Financial Services
MFSL.NS,Max Financial Services,Financial Services
STARHEALTH.NS,Star Health Insurance,Financial Services
NIACL.NS,New India Assurance,Financial Services
IIFLWAM.NS,IIFL Wealth Management,Financial Services
CREDITACC.NS,CreditAccess Grameen,Financial Services
SPANDANA.NS,Spandana Sphoorty Financial,Financial Services
CARERATING.NS,CARE Ratings,Financial Services
ICRA.NS,ICRA Limited,Financial Services
CRISIL.NS,CRISIL Limited,Financial Services
SUNDARMFIN.NS,Sundaram Finance,Financial Services
SRTRANSFIN.NS,Shriram Transport Finance,Financial Services
NUVAMA.NS,Nuvama Wealth Management,Financial Services
360ONE.NS,360 One WAM,Financial Services
ANANDRATHI.NS,Anand Rathi Wealth,Financial Services
ANGELONE.NS,Angel One,Financial Services
MOTILALOFS.NS,Motilal Oswal Financial Services,Financial Services
ICICISEC.NS,ICICI Securities,Financial Services
5PAISA.NS,5paisa Capital,Financial Services
APTUS.NS,Aptus Value Housing Finance,Financial Services
HOMEFIRST.NS,Home First Finance Company,Financial Services
REPCO.NS,Repco Home Finance,Financial Services
AAVAS.NS,Aavas Financiers,Financial Services
BAJAJHFL.NS,Bajaj Housing Finance,Financial Services
INDOSTAR.NS,IndoStar Capital Finance,Financial Services
TATAINVEST.NS,Tata Investment Corporation,Financial Services
BAJAJHLDNG.NS,Bajaj Holdings & Investment,Financial Services
SBFC.NS,SBFC Finance,Financial Services
UGROCAP.NS,Ugro Capital,Financial Services
PILANI.NS,Pilani Investment & Industries,Financial Services
GEOJITFSL.NS,Geojit Financial Services,Financial Services
AUROPHARMA.NS,Aurobindo Pharma,Pharma
BIOCON.NS,Biocon Limited,Pharma
ALKEM.NS,Alkem Laboratories,Pharma
GLENMARK.NS,Glenmark Pharmaceuticals,Pharma
LALPATHLAB.NS,Dr. Lal PathLabs,Healthcare
METROPOLIS.NS,Metropolis Healthcare,Healthcare
MAXHEALTH.NS,Max Healthcare Institute,Healthcare
FORTIS.NS,Fortis Healthcare,Healthcare
NARAYANA.NS,Narayana Hrudayalaya,Healthcare
RAINBOW.NS,Rainbow Children's Medicare,Healthcare
SYNGENE.NS,Syngene International,Healthcare
AJANTPHARM.NS,Ajanta Pharma,Pharma
